1: 1, 50, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
w: 2, 10, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
e: 1, 10, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
r: 2, 5, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
t: 1, 5, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
y: 2, 5, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
u: 1, 10, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
i: 2, 10, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
o: 1, 10, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
p: 2, 10, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
a: 1, 10, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
s: 2, 10, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
d: 1, 5, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
f: 2, 5, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
g: 1, 5, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
h: 2, 5, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
j: 1, 5, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
k: 2, 10, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
l: 1, 10, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
z: 2, 100, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
x: 1, 10, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
c: 2, 5, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
v: 1, 5, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
b: 2, 5, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
n: 1, 5, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
m: 2, 100, Colour (Colour (Abstract)), Colour (Colour (Abstract)),     Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)), Colour (Colour (Abstract)),
